Sample_ID,Label,Value_R,Value_C,Magnitude_0,Magnitude_1,Magnitude_2,Magnitude_3,Magnitude_4,Magnitude_5,Magnitude_6,Magnitude_7,Magnitude_8,Magnitude_9,Magnitude_10,Magnitude_11,Magnitude_12,Magnitude_13,Magnitude_14,Phase_0,Phase_1,Phase_2,Phase_3,Phase_4,Phase_5,Phase_6,Phase_7,Phase_8,Phase_9,Phase_10,Phase_11,Phase_12,Phase_13,Phase_14
53,nothing,0.0,0.0,244578.406,205644.281,526077.437,419748.218,369402.93,436062.625,3756458.5,1092624.875,953421.437,567261.5,1093479.375,1071425.75,752697.125,427464.937,1264719.5,-1.559,-100.27,-106.691,23.178,-7.775,-48.525,-4.388,3.255,48.438,-10.543,-4.381,-2.633,-16.865,-8.918,-48.342
54,nothing,0.0,0.0,140081.343,95236.703,193302.781,164579.953,188242.156,191780.421,148225.812,173343.312,205518.0,257459.421,179002.156,192458.906,176774.109,162579.593,227989.937,-152.356,-152.911,150.781,160.459,-156.82,164.378,176.463,-177.644,169.21,178.105,172.642,173.122,167.21,174.685,167.423
55,nothing,0.0,0.0,220843.109,212508.5,938327.437,337256.5,1650558.875,1033872.812,1206003.375,2500041.25,657438.125,931744.812,3910728.25,858205.375,2324635.25,756266.875,582778.437,-51.121,153.976,45.613,-113.31,105.262,-54.188,-88.44,31.825,43.77,-16.38,-147.217,-69.954,1.656,43.164,-44.37
56,nothing,0.0,0.0,218868.89,209120.484,937202.562,339461.718,1621579.75,1027881.125,1209570.5,2510967.0,648711.937,922807.937,3854446.75,863721.5,2329055.25,755441.625,575097.125,-51.835,153.712,44.852,-113.875,104.989,-53.491,-89.333,31.3,44.93,-15.584,-145.92,-70.684,1.231,43.953,-43.912
57,nothing,0.0,0.0,144269.31,87104.21,153860.187,161425.734,163298.62,179105.625,186246.39,173325.203,197087.984,255559.953,188514.718,191001.62,169766.39,146678.218,239080.437,169.299,171.32,147.122,-169.895,160.701,149.674,165.63,150.837,147.333,134.257,136.352,134.622,128.61,124.169,100.598
58,nothing,0.0,0.0,142621.656,127700.476,162573.453,218265.359,332394.468,217876.562,169041.14,212536.64,202864.562,212874.531,225210.312,220484.843,198586.343,172853.406,285511.75,-161.444,-122.699,-172.861,147.524,-176.789,179.617,-174.831,-178.665,-177.815,-177.76,-169.393,-163.128,-174.193,-179.764,-155.821
59,nothing,0.0,0.0,225929.328,150497.109,960130.375,337663.218,336821.781,653999.0,1227776.5,1694140.625,1744006.125,2785058.0,1346872.625,658353.625,537729.562,342803.218,525007.25,-8.88,54.33,-123.917,-150.287,-30.972,-21.824,-75.249,-7.292,53.22,-26.212,-44.712,-25.302,-29.38,-43.212,-66.134
60,nothing,0.0,0.0,142979.734,237189.187,142585.593,122905.82,161766.937,185157.14,146050.812,144799.734,149167.812,145804.203,112152.875,138206.906,114713.359,111749.953,104700.21,-175.583,120.555,-167.74,-157.845,-138.846,-154.402,-154.556,-145.67,-141.844,-134.663,-131.877,-126.625,-122.0,-118.759,-111.11
61,nothing,0.0,0.0,252638.39,162636.15,391006.562,621926.812,340211.593,494191.375,701778.687,777856.625,972282.875,1291987.25,601959.687,556619.5,550015.25,324544.343,628045.312,9.537,-60.58,-84.448,90.72,21.333,-36.464,-64.385,-1.912,49.102,-44.137,-47.72,-23.47,-30.394,-43.973,-70.595
62,nothing,0.0,0.0,125847.679,196436.296,218456.578,178167.593,208159.453,179767.265,185241.234,176307.656,213590.46,272915.562,171871.531,200433.39,197590.546,179727.203,254587.703,-178.17,124.34,-171.134,145.661,-153.839,172.402,-178.762,176.873,174.589,-176.789,176.456,176.119,-179.323,172.765,174.947
